File,label,time,f0 
charley-clean-m-A,a2,0.5610748880623568,250.07157834755975 
charley-clean-m-A,1,1.7060529827742272,243.77759694801068 
charley-clean-m-A,2,2.111381145501685,243.66346481748516 
charley-clean-m-A,3,2.2447936610014314,279.1659676692298 
charley-clean-s-A,a1,0.13298080871793563,147.8965971768917 
charley-clean-s-A,a2,0.5294913383350031,250.86113838038779 
charley-clean-s-A,1,1.4695626602085803,250.46384547356212 
charley-clean-s-A,2,1.91333934567404,243.01143708246408 
charley-clean-s-A,3,2.0315047352950204,270.00366778878555 
control1,a1,0.21386494957333788,236.3721988289143 
control1,a2,0.44268250055911357,265.2480901338215 
control1,1,1.332551762432413,280.5325512429473 
control1,2,1.658049663530611,287.01766568065676 
control1,3,1.7344305685941654,308.03437576996976 
control2,a1,0.21677873436007364,230.24722679490776 
control2,a2,0.5004978763983983,265.5722028039897 
control2,1,1.6783621933453827,264.4338375393207 
control2,2,1.90174565932718,264.8397015462735 
control2,3,2.148130193441048,308.9685225272882 
control3,a1,0.2399396841986637,245.42109994794967 
control3,a2,0.4950678872541583,243.32924543044498 
control3,1,1.4645550588650378,263.83301764395037 
control3,2,1.9124467931180174,274.6887592418397 
control3,3,2.0768627461982248,322.3341166791317 
control4,a1,0.2042794441689162,219.76738545297516 
control4,a2,0.4446334922864506,228.09816020963805 
control4,1,1.4006484701921496,266.4181052067628 
control4,2,1.8705541372983405,265.42395026923117 
control4,3,2.0055845014093148,322.1042962892543 
daisy-whistle-a-A,a1,0.1450303069183901,138.13277852171765 
daisy-whistle-a-A,a2,0.613596519367628,222.0504312638815 
daisy-whistle-a-A,1,1.5916964819665838,237.6815885891207 
daisy-whistle-a-A,2,1.727401450599423,230.28737793199363 
daisy-whistle-a-A,3,1.8375017081694627,269.8043237790525 
daisy-whistle-m-A,a1,0.268080454710368,159.76996014123335 
daisy-whistle-m-A,a2,0.8002218805856879,239.54754981269224 
daisy-whistle-m-A,1,1.9615422864665333,242.5461111338401 
daisy-whistle-m-A,2,2.0930125210945536,240.470191584929 
daisy-whistle-m-A,3,2.196310562587998,285.69603884655453 
daisy-whistle-s-A,a1,0.11580656007131293,152.0892407476492 
daisy-whistle-s-A,a2,0.5552762126822348,254.10626380332542 
daisy-whistle-s-A,1,1.5757396433211555,259.9779457553362 
daisy-whistle-s-A,2,1.6874692160188474,262.49270912604163 
daisy-whistle-s-A,3,1.7917501505366933,296.9572586234869 
danny-smile-a-A,a1,0.19713174712012224,150.82981553035236 
danny-smile-a-A,a2,0.5906645561942633,237.09436366223082 
danny-smile-a-A,1,1.5089077773672592,234.34511636224778 
danny-smile-a-A,2,1.848426279313577,240.3838177611802 
danny-smile-a-A,3,1.9435943442530752,267.48694663244544 
danny-smile-m-A,a1,0.19058865612695833,141.74655452434584 
danny-smile-m-A,a2,0.5244858878685097,244.4310358904565 
danny-smile-m-A,1,1.802005731053576,233.12275000544608 
danny-smile-m-A,2,2.1271926002279566,240.4983910806938 
danny-smile-m-A,3,2.2113927717106083,267.04122064580537 
danny-smile-s-A,a1,0.1997394128469285,146.3125035323824 
danny-smile-s-A,a2,0.5984477277346627,233.2277286774577 
danny-smile-s-A,1,1.6236976803031222,237.69407929224548 
danny-smile-s-A,2,1.9573107601071449,240.96331620981894 
danny-smile-s-A,3,2.0739397229654615,268.79465426154326 
eddie-smile-a-A,a1,0.12150274294577683,142.45001218782642 
eddie-smile-a-A,a2,0.46219576173627486,236.16818578775084 
eddie-smile-a-A,1,1.4818755714965683,249.78898193381866 
eddie-smile-a-A,2,1.796176877563859,253.66964638992567 
eddie-smile-a-A,3,1.8845110288465488,292.27537064481845 
eddie-smile-m-A,a1,0.1592351425553562,140.96066522030017 
eddie-smile-m-A,a2,0.49727663082210594,232.34069244223582 
eddie-smile-m-A,1,1.9222963529121113,247.6062933750112 
eddie-smile-m-A,2,2.202054825960456,243.11033550928144 
